
Code;Text
MJ05;antiviral agents for systemic use
MJ05A;direct-acting antivirals
MJ05AA;thiosemicarbazones
MJ05AA01;methisazone
MJ05AB;nucleosides and nucleotides excl. reverse transcriptase inhibitors
MJ05AB01;acyclovir
MJ05AB02;idoxuridine
MJ05AB03;vidarabine
MJ05AB06;ganciclovir
MJ05AB09;famciclovir
MJ05AB11;valacyclovir
MJ05AB12;cidofovir
MJ05AB13;penciclovir
MJ05AB14;valganciclovir
MJ05AB15;brivudine
MJ05AB16;remdesivir
MJ05AB17;brincidofovir
MJ05AB18;molnupiravir
MJ05AC;cyclic amines
MJ05AC02;rimantadine
MJ05AC03;tromantadine
MJ05AD;phosphonic acid derivatives
MJ05AD01;foscarnet
MJ05AD02;phosphonet
MJ05AE;protease inhibitors
MJ05AE01;saquinavir
MJ05AE02;indinavir
MJ05AE03;ritonavir
MJ05AE04;nelfinavir
MJ05AE05;amprenavir
MJ05AE07;fosamprenavir
MJ05AE08;atazanavir
MJ05AE09;tipranavir
MJ05AE10;darunavir
MJ05AE16;ensitrelvir
MJ05AE30;nirmatrelvir and ritonavir
MJ05AF;nucleoside and nucleotide reverse transcriptase inhibitors
MJ05AF01;zidovudine
MJ05AF02;didanosine
MJ05AF03;zalcitabine
MJ05AF04;stavudine
MJ05AF05;lamivudine
MJ05AF06;abacavir
MJ05AF07;tenofovir disoproxil
MJ05AF08;adefovir dipivoxil
MJ05AF09;emtricitabine
MJ05AF10;entecavir
MJ05AF11;telbivudine
MJ05AF12;clevudine
MJ05AF13;tenofovir alafenamide
MJ05AG;non-nucleoside reverse transcriptase inhibitors
MJ05AG01;nevirapine
MJ05AG02;delavirdine
MJ05AG03;efavirenz
MJ05AG04;etravirine
MJ05AG05;rilpivirine
MJ05AG06;doravirine
MJ05AG07;elsulfavirin
MJ05AH;neuraminidase inhibitors
MJ05AH01;zanamivir
MJ05AH02;oseltamivir
MJ05AH03;peramivir
MJ05AH04;laninamivir
MJ05AJ;integrase inhibitors
MJ05AJ01;raltegravir
MJ05AJ02;elvitegravir
MJ05AJ03;dolutegravir
MJ05AJ04;cabotegravir
MJ05AP;antiviral agents for the treatment of HCV infections
MJ05AP01;ribavirin
MJ05AP02;telaprevir
MJ05AP03;boceprevir
MJ05AP04;faladaprevir
MJ05AP05;simeprevir
MJ05AP06;asunaprevir
MJ05AP07;daclatasvir
MJ05AP08;sofosbuvir
MJ05AP09;dasabuvir
MJ05AP10;electric bass
MJ05AP11;grazoprevir
MJ05AP12;coblopasvir
MJ05AP13;ravidasvir
MJ05AP14;narlaprevir
MJ05AP51;sofosbuvir and ledipasvir
MJ05AP52;dasabuvir, ombitasvir, paritaprevir and ritonavir
MJ05AP53;ombitasvir, paritaprevir and ritonavir
MJ05AP54;elbasvir and grazoprevir
MJ05AP55;sofosbuvir and velpatasvir
MJ05AP56;sofosbuvir, velpatasvir and voxilaprevir
MJ05AP57;glecaprevir and pibrentasvir
MJ05AP58;daclatasvir, asunaprevir and beclabuvir
MJ05AR;antiviral agents for the treatment of HIV infections, comb.
MJ05AR01;zidovudine and lamivudine
MJ05AR02;lamivudine and abacavir
MJ05AR03;tenofovir disoproxil and emtricitabine
MJ05AR04;zidovudine, lamivudine and abacavir
MJ05AR05;zidovudine, lamivudine and nevirapine
MJ05AR06;emtricitabine, tenofovir disoproxil and efavirenz
MJ05AR07;stavudine, lamivudine and nevirapine
MJ05AR08;emtricitabine, tenofovir disoproxil and rilpivirine
MJ05AR09;emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat
MJ05AR10;lopinavir and ritonavir
MJ05AR11;lamivudine, tenofovir disoproxil and efavirenz
MJ05AR12;lamivudine and tenofovir disoproxil
MJ05AR13;lamivudine, abacavir and dolutegravir
MJ05AR14;darunavir and cobicistat
MJ05AR15;atazanavir and cobicistat
MJ05AR16;lamivudine and raltegravir
MJ05AR17;emtricitabine and tenofovir alafenamide
MJ05AR18;emtricitabine, tenofovir alafenamide, elvitegravir, cobicistat
MJ05AR19;emtricitabine, tenofovir alafenamide and rilpivirine
MJ05AR20;emtricitabine, tenofovir alafenamide and bictegravir
MJ05AR21;dolutegravir and rilpivirine
MJ05AR22;emtricitabine, tenofovir alafenamide, darunavir and cobicistat
MJ05AR23;atazanavir and ritonavir
MJ05AR24;lamivudine, tenofovir disoproxil and doravirine
MJ05AR25;lamivudine and dolutegravir
MJ05AR26;darunavir and ritonavir
MJ05AR27;lamivudine, tenofovir disoproxil and dolutegravir
MJ05AR28;stavudine and lamivudine
MJ05AR29;emtricitabine, tenofovir alafenamide and dolutegravir
MJ05AX;other antiviral agents
MJ05AX01;moroxydine
MJ05AX02;lysozyme
MJ05AX05;inosine pranobex
MJ05AX06;pleconaril
MJ05AX07;enfuvirtide
MJ05AX09;maraviroc
MJ05AX10;maribavir
MJ05AX13;umifenovir
MJ05AX17;enisamium iodide
MJ05AX18;letermovir
MJ05AX19;tilorone
MJ05AX21;pentanedioic acid imidazolyl ethanamide
MJ05AX23;ibalizumab
MJ05AX24;tecovirimat
MJ05AX25;baloxavirmarboxil
MJ05AX26;amenamevir
MJ05AX27;favipiravir
MJ05AX28;bulevirtide
MJ05AX29;fostemsavir
MJ05AX31;lenacapavir
MJ05AX32;riamilovir
MJ05AX33;labuvirtid
MJ06;immune sera and immunoglobulins
MJ06A;immune sera
MJ06AA;immune sera
MJ06AA01;diphtheria antitoxin
MJ06AA02;tetanus antitoxin
MJ06AA03;snake venom antiserum
MJ06AA04;botulinum antitoxin
MJ06AA05;gas gangrene sera
MJ06AA06;rabies serum
MJ06B;immunoglobulins
MJ06BA;immunoglobulins, normal human
MJ06BA01;immunoglobulins, normal human for extravas. use
MJ06BA02;immunoglobulins, normal human for intravas. use
MJ06BB;specific immunoglobulins
MJ06BB01;anti-D (Rh) immunoglobulin
MJ06BB02;tetanus immunoglobulin
MJ06BB03;varicella/zoster immunoglobulin
MJ06BB04;hepatitis B immunoglobulin
MJ06BB05;rabies immunoglobulin
MJ06BB06;rubella immunoglobulin
MJ06BB07;vaccinia immunoglobulin
MJ06BB08;staphylococcus immunoglobulin
MJ06BB09;cytomegalovirus immunoglobulin
MJ06BB10;diphtheria immunoglobulin
MJ06BB11;hepatitis A immunoglobulin
MJ06BB12;encephalitis, tick borne immunoglobulin
MJ06BB13;pertussis immunoglobulin
MJ06BB14;morbilli immunoglobulin
MJ06BB15;parotitis immunoglobulin
MJ06BB19;anthrax immunoglobulin
MJ06BB30;combinations of specific immunoglobulins
MJ06BC;antibacterial monoclonal antibodies
MJ06BC01;nebacumab
MJ06BC02;raxibacumab
MJ06BC03;bezlotoxumab
MJ06BC04;obiltoxaximab
MJ06BD;antiviral monoclonal antibodies
MJ06BD01;palivizumab
MJ06BD02;motavizumab
MJ06BD03;tixagevimab and cilgavimab
MJ06BD04;ansuvimab
MJ06BD05;sotrovimab
MJ06BD06;regdanvimab
MJ06BD07;casirivimab and imdevimab
MJ06BD08;nirsevimab
MJ06BD09;sipavibart
MJ07;vaccines
MJ07A;bacterial vaccines
MJ07AC;anthrax vaccines
MJ07AC01;anthrax antigen
MJ07AD;brucellosis vaccines
MJ07AD01;brucella antigen
MJ07AE;cholera vaccines
MJ07AE01;cholera, inactivated, whole cells
MJ07AE02;cholera, live attenuated
MJ07AE51;cholera, comb. with typhoid vac., inact., whole cells
MJ07AF;diphtheria vaccines
MJ07AF01;diphtheria toxoid
MJ07AG;haemophilus influenzae B vaccines
MJ07AG01;haemophilus influenzae B, purified antigen conjugate
MJ07AG51;haemophilus influenzae B, combinations with toxoids
MJ07AG52;haemophilus influenzae B, combinations with pertussis and toxoids
MJ07AG53;haemophilus influenzae B, combinations with meningococcus C, conjugated
MJ07AG54;haemophilus influenzae B, combinations with meningococcus C,Y, conjugated
MJ07AH;meningococcal vaccines
MJ07AH01;meningococcus A, purified polysaccharide antigen
MJ07AH02;other meningococcal monovalent, purified polysaccharide antigen
MJ07AH03;meningococcus A,C, bivalent purified polysaccharide antigen
MJ07AH04;meningococcus A,C,Y,W-135, tetravalent purified polysaccharide antigen
MJ07AH05;other meningococcal polyvalent purified polysaccharide antigen
MJ07AH06;meningococcus B, outer membrane vesicle vaccine
MJ07AH07;meningococcus C, purified polysaccharide antigen conj.
MJ07AH08;meningococcus A,C,Y,W-135, tetravalent purified polysaccharide antigen conj.
MJ07AH09;meningococcus B, multicomponent vaccine
MJ07AH10;meningococcus A, purified polysaccharide antigen conjugate
MJ07AH11;meningococcus A,B,C,Y,W-135, pentavalent purified polysaccharide antigen conjugate and factor H-binding protein
MJ07AJ;pertussis vaccines
MJ07AJ01;pertussis, inactivated, whole cells
MJ07AJ02;pertussis, purified antigen
MJ07AJ51;pertussis, inact., whole cells, combinations with toxoids
MJ07AJ52;pertussis, purified antigen, combinations with toxoids
MJ07AK;plague vaccines
MJ07AK01;plague, inactivated, whole cells
MJ07AL;pneumococcal vaccines
MJ07AL01;pneumococcus, purified polysaccharide antigen
MJ07AL02;pneumococcus, purified polysaccharide antigen conjugated
MJ07AL52;pneumococcus, purified polysaccharide antigen and haemophillus influenzae, conjugate
MJ07AM;tetanus vaccines
MJ07AM01;tetanus toxoid
MJ07AM51;tetanus toxoid, comb. with diphtheria toxoid
MJ07AM52;tetanus toxoid, comb. with tetanus immunoglobulin
MJ07AN;tuberculosis vaccines
MJ07AN01;tuberculosis, live attenuated
MJ07AP;typhoid vaccines
MJ07AP01;typhoid, oral, live attenuated
MJ07AP02;typhoid, inactivated, whole cells
MJ07AP03;typhoid, purified polysaccharide antigen
MJ07AP10;typhoid, combinations with paratyphoid types
MJ07AR;typhoid exanthematicus vaccines
MJ07AR01;typhoid exanthematicus, inactivated, whole cells
MJ07AX;other bacterial vaccines
MJ07AX01;leptospira vaccines
MJ07B;viral vaccines
MJ07BA;encephalitis vaccines
MJ07BA01;encephalitis, tick borne, inactivated, whole virus
MJ07BA02;encephalitis, Japanese, inactivated, whole virus
MJ07BA03;encephalitis, Japanese, live attenuated
MJ07BB;flu vaccines
MJ07BB01;influenza, inactivated, whole virus
MJ07BB02;influenza, purified antigen
MJ07BB03;influenza, live attenuated
MJ07BB04;influenza, virus-like particles
MJ07BB05;influenza, RNA-based vaccine
MJ07BB55;influenza and COVID-19, RNA-based vaccine
MJ07BC;hepatitis vaccines
MJ07BC01;hepatitis B, purified antigen
MJ07BC02;hepatitis A, inactivated, whole virus
MJ07BC20;combinations of hepatitis vaccines
MJ07BD;measles vaccines
MJ07BD01;measles, live attenuated
MJ07BD51;measles, combined with mumps, live attenuated
MJ07BD52;measles, combined with mumps and rubella, live attenuated
MJ07BD53;measles, combined with rubella, live attenuated
MJ07BD54;measles, combined with mumps, rubella and varicella, live attenuated
MJ07BE;mumps vaccines
MJ07BE01;mumps, live attenuated
MJ07BF;poliomyelitis vaccines
MJ07BF01;poliomyelitis oral, monovalent, live attenuated
MJ07BF02;poliomyelitis oral, trivalent, live attenuated
MJ07BF03;poliomyelitis, trivalent, inactivated, whole virus
MJ07BF04;poliomyelitis oral, bivalent, live attenuated
MJ07BG;rabies vaccines
MJ07BG01;rabies, inactivated, whole virus
MJ07BH;rota virus diarrhea vaccines
MJ07BH01;rota virus, live attenuated
MJ07BH02;rota virus, pentavalent, live, reassorted
MJ07BJ;rubella vaccines
MJ07BJ01;rubella, live attenuated
MJ07BJ51;rubella, combined with mumps, live attenuated
MJ07BK;varicella zoster vaccines
MJ07BK01;varicella, live attenuated
MJ07BK02;zoster virus, live attenuated
MJ07BK03;zoster, purified antigen
MJ07BL;yellow fever vaccines
MJ07BL01;yellow fever, live attenuated
MJ07BM;papillomavirus vaccines
MJ07BM01;papillomavirus (human type 6, 11, 16, 18)
MJ07BM02;papillomavirus (human type 16, 18)
MJ07BM03;papillomavirus (human type 6, 11, 16, 18, 31, 33, 45, 52,58)
MJ07BN;COVID-19 vaccines
MJ07BN01;COVID-19, RNA-based vaccine
MJ07BN02;COVID-19, viral vector, non-replicating
MJ07BN03;COVID-19, inactivated virus
MJ07BN04;COVID-19, protein subunit
MJ07BN05;COVID-19, virus-like particles
MJ07BX;other viral vaccines
MJ07BX01;smallpox vaccine and monkeypox vaccine
MJ07BX02;ebola vaccines
MJ07BX04;dengue fever vaccines
MJ07BX05;respiratory syncytial virus vaccines
MJ07BX06;enterovirus 71 vaccines
MJ07C;bacterial and viral vaccines, combined
MJ07CA;bacterial and viral vaccines, combined
MJ07CA01;diphtheria-poliomyelitis-tetanus
MJ07CA02;diphtheria-pertussis-poliomyelitis-tetanus
MJ07CA03;diphtheria-rubella-tetanus
MJ07CA04;haemophilus influenzae B and poliomyelitis
MJ07CA05;diphtheria-hepatitis B-pertussis-tetanus
MJ07CA06;diphtheria-haemophilus influenzae B-pertussis-polio-tetanus
MJ07CA07;diphtheria-hepatitis B-tetanus
MJ07CA08;haemophilus influenzae and hepatitis B
MJ07CA09;diphtheria-haemophilus influenzae B-pertussis-polio-tetanus-hepatitis B
MJ07CA10;typhoid - hepatitis A
MJ07CA11;diphtheria-haemophilus influenzae B-pertussis-tetanus-hepatitis B
MJ07CA12;diphtheria-pertussis-polio-tetanus-hepatitis B
MJ07CA13;diphtheria-haemophilus influenzae B-pertussis-tetanus-hepatitis B-meningococcus A+C
MJ07X;other vaccines
MJ07XA;parasitic vaccines
MJ07XA01;malaria vaccines
ML;Antineoplastic and immunomodulatory agents
ML01;antineoplastic agents
ML01A;alkylating agents
ML01AA;nitrogen mustard gas analogues
ML01AA01;cyclophosphamide
ML01AA02;chlorambucil
ML01AA03;melphalan
ML01AA05;chlormethine
ML01AA06;ifosfamide
ML01AA07;trofosfamide
ML01AA08;prednimustine
ML01AA09;bendamustine
ML01AA10;melphalanflufenamide
ML01AB;alkyl sulfonates
ML01AB01;busulfan
ML01AB02;treosulfan
ML01AB03;mannosulfan
ML01AC;ethyleneimines
ML01AC01;thiotepa
ML01AC02;triaziquone
ML01AC03;carboquone
ML01AD;nitrosourea substances
ML01AD01;carmustine
ML01AD02;lomustine
ML01AD03;semustine
ML01AD04;streptozocin
ML01AD05;fotemustine
ML01AD06;nimustine
ML01AD07;ranimustine
ML01AD08;uramustine
ML01AG;epoxides
ML01AG01;etoglucid
ML01AX;other alkylating agents
ML01AX01;mitobronitol
ML01AX02;pipobroman
ML01AX03;temozolomide
ML01AX04;dacarbazine
ML01B;antimetabolites
ML01BA;folic acid analogues
ML01BA01;methotrexate
ML01BA03;raltitrexed
ML01BA04;pemetrexed
ML01BA05;pralatrexate
ML01BB;purine analogues
ML01BB02;mercaptopurine
ML01BB03;thioguanine
ML01BB04;cladribine
ML01BB05;fludarabine
ML01BB06;clofarabine
ML01BB07;nelarabine
ML01BC;pyrimidine analogues
ML01BC01;cytarabine
ML01BC02;fluorouracil
ML01BC03;tegafur
ML01BC04;carmofur
ML01BC05;gemcitabine
ML01BC06;capecitabine
ML01BC07;azacitidine
ML01BC08;decitabine
ML01BC09;floxuridine
ML01BC52;fluorouracil, combinations
ML01BC53;tegafur, comb.
ML01BC58;decitabine, combinations
ML01BC59;trifluridine, combinations
ML01C;plant alkaloids and other natural products
ML01CA;vinca alkaloids and analogues
ML01CA01;vinblastine
ML01CA02;vincristine
ML01CA03;windesin
ML01CA04;vinorelbine
ML01CA05;vinflunine
ML01CA06;vintafolide
ML01CB;podophyllotoxin derivatives
ML01CB01;etoposide
ML01CB02;teniposide
ML01CC;colchicine derivatives
ML01CC01;demecolcine
ML01CD;taxanes
ML01CD01;paclitaxel
ML01CD02;docetaxel
ML01CD03;paclitaxel poliglumex
ML01CD04;cabazitaxel
ML01CD51;paclitaxel and encequidar
ML01CE;topoisomerase 1 inhibitors
ML01CE01;topotecan
ML01CE02;irinotecan
ML01CE03;etirinotecan pegol
ML01CE04;belotecan
ML01CX;other plant alkaloids and natural products
ML01CX01;trabectedin
ML01D;cytotoxic antibiotics and related substances
ML01DA;actinomycins
ML01DA01;dactinomycin
ML01DB;anthracyclines and related substances
ML01DB01;doxorubicin
ML01DB02;daunorubicin
ML01DB03;epirubicin
ML01DB04;aclarubicin
ML01DB05;zorubicin
ML01DB06;idarubicin
ML01DB07;mitoxantrone
ML01DB08;pirarubicin
ML01DB09;valrubicin
ML01DB10;amrubicin
ML01DB11;pixantron
ML01DC;other cytotoxic antibiotics
ML01DC01;bleomycin
ML01DC02;plicamycin
ML01DC03;mitomycin
ML01DC04;ixabepilone
ML01DC05;utidelon
ML01E;protein kinase inhibitors
ML01EA;BCR-ABL tyrosine kinase inhibitors
ML01EA01;imatinib
ML01EA02;dasatinib
ML01EA03;nilotinib
ML01EA04;bosutinib
ML01EA05;ponatinib
ML01EA06;asciminib
ML01EB;epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
ML01EB01;gefitinib
ML01EB02;erlotinib
ML01EB03;afatinib
ML01EB04;osimertinib
ML01EB05;rociletinib
ML01EB06;olmutinib
ML01EB07;dacomitinib
ML01EB08;icotinib
ML01EB09;lazertinib
ML01EB10;mobocertinib
ML01EB11;aumolertinib
ML01EB12;firmonertinib
ML01EC;B-Raf serine-threonine kinase (BRAF) inhibitors
ML01EC01;vemurafenib
ML01EC02;dabrafenib
ML01EC03;encorafenib
ML01EC04;tovafenib
ML01ED;anaplastic lymphoma kinase (ALK) inhibitors
ML01ED01;crizotinib
ML01ED02;ceritinib
ML01ED03;alectinib
ML01ED04;brigatinib
ML01ED05;lorlatinib
ML01EE;mitogen-activated protein kinase (MEK) inhibitors
ML01EE01;trametinib
ML01EE02;cobimetinib
ML01EE03;binimetinib
ML01EE04;selumetinib
ML01EE05;mirdametinib
ML01EE06;tunlametinib
ML01EF;cyclin-dependent kinase (CDK) inhibitors
ML01EF01;palbociclib
ML01EF02;ribociclib
ML01EF03;abemaciclib
ML01EG;mammalian target of rapamycin (mTOR) kinase inhibitors
ML01EG01;temsirolimus
ML01EG02;everolimus
ML01EG03;ridaforolimus
ML01EG04;sirolimus
ML01EH;human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors
ML01EH01;lapatinib
ML01EH02;neratinib
ML01EH03;tucatinib
ML01EH04;zongertinib
ML01EJ;janus associated kinase (JAK) inhibitors
ML01EJ01;ruxolitinib
ML01EJ02;fedratinib
ML01EJ03;pacritinib
ML01EJ04;momelotinib
ML01EK;vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors
ML01EK01;axitinib
ML01EK02;cediranib
ML01EK03;tivozanib
ML01EK04;fruquintinib
ML01EK05;rivoceranib
ML01EL;Bruton's tyrosine kinase (BTK) inhibitors
ML01EL01;ibrutinib
ML01EL02;acalabrutinib
ML01EL03;zanubrutinib
ML01EL04;orelabrutinib
ML01EL05;pirtobrutinib
ML01EL06;tirabrutinib
ML01EM;phosphatidylinositol-3-kinase (Pi3K) inhibitors
ML01EM01;idelalisib
ML01EM02;copanlisib
ML01EM03;alpelisib
ML01EM04;duvelisib
ML01EM05;parsaclisib
ML01EN;fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitors
ML01EN01;erdafitinib
ML01EN02;pemigatinib
ML01EN03;infigratinib
ML01EN04;futibatinib
ML01EP;cellular-mesenchymal-epithelial transition factor (c-MET) kinase inhibitors
ML01EP03;savolitinib
ML01EX;other protein kinase inhibitors
ML01EX01;sunitinib
ML01EX02;sorafenib
ML01EX03;pazopanib
ML01EX04;vandetanib
ML01EX0 5;regorafenib
ML01EX06;masitinib
ML01EX07;cabozantinib
ML01EX08;lenvatinib
ML01EX09;nintedanib
ML01EX10;midostaurin
ML01EX11;quizartinib
ML01EX12;larotrectinib
ML01EX13;gilteritinib
ML01EX14;entrectinib
ML01EX15;pexidartinib
ML01EX17;capmatinib
ML01EX18;avapritinib
ML01EX19;ripretinib
ML01EX21;tepotinib
ML01EX22;selpercatinib
ML01EX23;pralsetinib
ML01EX24;surufatinib
ML01EX25;umbralisib
ML01EX26;sitravatinib
ML01EX27;capivasertib
ML01EX28;repotrectinib
ML01EX29;vimseltinib
ML01F;monoclonal antibodies and antibody-drug conjugates
ML01FA;anti-CD20 monoclonal antibodies
ML01FA01;rituximab
ML01FA02;ofatumumab
ML01FA03;obinutuzumab
ML01FB;anti-CD22 monoclonal antibodies
ML01FB01;inotuzumab ozogamicin
ML01FB02;moxetumomab pasudotox
ML01FC;anti-CD38 monoclonal antibodies
ML01FC01;daratumumab
ML01FC02;isatuximab
ML01FD;human epidermal growth factor receptor 2 (HER2) inhibitors
ML01FD01;trastuzumab
ML01FD02;pertuzumab
ML01FD03;trastuzumab emtansine
ML01FD04;trastuzumab deruxtecan
ML01FD05;trastuzumab duocarmazine
ML01FD06;margetuximab
ML01FD07;zanidatamab
ML01FE;epidermal growth factor receptor (EGFR) inhibitors
ML01FE01;cetuximab
ML01FE02;panitumumab
ML01FE03;necitumumab
ML01FF;PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors
ML01FF01;nivolumab
ML01FF02;pembrolizumab
ML01FF03;durvalumab
ML01FF04;avelumab
ML01FF05;atezolizumab
ML01FF06;cemiplimab
ML01FF07;dostarlimab
ML01FF08;prolgolimab
ML01FF09;tislelizumab
ML01FF10;retifanlimab
ML01FF11;sugemalimab
ML01FF12;serplulimab
ML01FF13;toripalimab
ML01FF14;camrelizumab
ML01FF15;envafolimab
ML01FG;vascular endothelial growth factor (VEGF/VEGFR) inhibitors
ML01FG01;bevacizumab
ML01FG02;ramucirumab
ML01FX;other monoclonal antibodies and antibody-drug conjugates
ML01FX01;edrecolomab
ML01FX02;gemtuzumab ozogamicin
ML01FX03;catumaxomab
ML01FX04;ipilimumab
ML01FX05;brentuximab vedotin
ML01FX06;dinutuximab beta
ML01FX07;blinatumomab
ML01FX08;elotuzumab
ML01FX09;mogamulizumab
ML01FX10;olaratumab
ML01FX11;bermekimab
ML01FX12;tafasitamab
ML01FX13;enfortumab vedotin
ML01FX14;polatuzumab vedotin
ML01FX15;belantamab mafodotin
ML01FX16;oportuzumab monatox
ML01FX17;sacituzumab govitecan
ML01FX18;amivantamab
ML01FX19;sabatolimab
ML01FX20;tremelimumab
ML01FX21;naxitamab
ML01FX22;loncastuximab tesirin
ML01FX23;tisotumab vedotin
ML01FX24;teclistamab
ML01FX25;mosunetuzumab
ML01FX26;mirvetuximab soravtansine
ML01FX27;epcoritamab
ML01FX28;glofitamab
ML01FX29;talquetamab
ML01FX31;zolbetuximab
ML01FX32;elranatamab
ML01FX33;tarlatamab
ML01FX34;odronextamab
ML01FX35;dapotomab deruxtecan
ML01FX36;patritumab deruxtecan
ML01FX37;linvoseltamab
ML01FY;combinations of monoclonal antibodies and antibody-drug conjugates
ML01FY01;pertuzumab and trastuzumab
ML01FY02;nivolumab and relatlimab
ML01FY03;prolgolimab and nurulimab
ML01X;other antineoplastic agents
ML01XA;platinum compounds
ML01XA01;cisplatin
ML01XA02;carboplatin
ML01XA03;oxaliplatin
ML01XA04;satraplatin
ML01XA05;polyplate
ML01XB;methylhydrazines
ML01XB01;procarbazine
ML01XD;sensitizers for photodynamic/radiation therapy
ML01XD01;porfimer sodium
ML01XD03;methylaminolevulinate
ML01XD04;aminolevulinic acid
ML01XD05;temoporfin
ML01XD06;efaproxiral
ML01XD07;padeliporfin
ML01XF;retinoids for cancer treatment
ML01XF01;tretinoin
ML01XF02;alitretinoin
ML01XF03;bexarotene
ML01XG;proteasome inhibitors
ML01XG01;bortezomib
ML01XG02;carfilzomib
ML01XG03;ixazomib
ML01XH;histone deacetylase (HDAC) inhibitors
ML01XH01;vorinostat
ML01XH02;romidepsin
ML01XH03;panobinostat
ML01XH04;belinostat
ML01XH05;entinostat
ML01XH06;tucidinostat
ML01XH07;resminostat
ML01XJ;hedgehog pathway inhibitors
ML01XJ01;vismodegib
ML01XJ02;sonidegib
ML01XJ03;glass degib
ML01XK;poly (ADP-ribose) polymerase (PARP) inhibitors
ML01XK01;olaparib
ML01XK02;niraparib
ML01XK03;rucaparib
ML01XK04;talazoparib
ML01XK05;veliparib
ML01XK06;pamiparib
ML01XK52;niraparib and abiraterone
ML01XL;antineoplastic cell and gene therapy
ML01XL01;sitimagen ceradenovec
ML01XL02;talimogen laherparepvec
ML01XL03;axicabtagen ciloleucel
ML01XL04;tisagenlecleucel
ML01XL05;ciltacabtagen autoleucel
ML01XL06;brexucabtagen autoleucel
ML01XL07;idecabtagen vicleucel
ML01XL08;lisocabtagene maraleucel
ML01XL09;table key
ML01XL10;nadofaragen firadenovec
ML01XL11;lifileucel
ML01XL12;obecabtagen autoleucel
ML01XM;isocitrate dehydrogenase (IDH) inhibitors
ML01XM01;enasidenib
ML01XM02;ivosidenib
ML01XM03;olutasidenib
ML01XM04;vorasidenib
ML01XU;other antineoplastic agents (continued)
ML01XX;other neoplastic substances
ML01XX01;amsacrine
ML01XX02;asparaginase
ML01XX03;altretamine
ML01XX05;hydroxycarbamide
ML01XX07;lonidamine
ML01XX08;pentostatin
ML01XX10;masoprocol
ML01XX11;estramustine
ML01XX16;mitoguazone
ML01XX18;tiazofurin
ML01XX23;mitotane
ML01XX24;pegaspargase
ML01XX27;arsenic trioxide
ML01XX29;denileukin diftitox
ML01XX33;celecoxib
ML01XX35;anagrelide
ML01XX36;oblimersen
ML01XX40;omacetaxine mepesuccinate
ML01XX41;eribulin
ML01XX44;aflibercept
ML01XX52;venetoclax
ML01XX53;vosaroxin
ML01XX57;plitidepsin
ML01XX58;epacadostat
ML01XX66;selinexor
ML01XX67;tagraxofusp
ML01XX69;lurbinectedin
ML01XX72;tazemetostat
ML01XX73;sotorasib
ML01XX74;belzutifan
ML01XX75;tebentafusp
ML01XX77;adagrasib
ML01XX78;navitoclax
ML01XX79;eflornithine
ML01XX80;imetelstat
ML01XX81;nirogacestat
ML01XX82;darinaparsin
ML01XX83;paratoluenesulfonamide
ML01XX84;pelabresib
ML01XX85;hydroxyoleic acid
ML01XX86;calaspargase pegol
ML01XY;combinations of antineoplastic agents
ML01XY01;cytarabine and daunorubicin
ML01XY04;bifikafusp alfa and onfecafusp alfa
ML02;endocrine therapy
ML02A;hormones and related substances
ML02AA;estrogens
ML02AA01;diethylstilbestrol
ML02AA02;polyestradiol phosphate
ML02AA03;ethinyl estradiol
ML02AA04;fosfestrol
ML02AB;gestagens
ML02AB01;megestrol
ML02AB02;medroxyprogesterone
ML02AB03;gestonorone
ML02AE;gonadotropin-releasing hormone analogs
ML02AE01;buserelin
ML02AE02;leuprorelin
ML02AE03;goserelin
ML02AE04;triptorelin
ML02AE05;histrelin
ML02AE51;leuprorelin and bicalutamide
ML02AX;other hormones
ML02B;hormone antagonists and similar substances
ML02BA;anti-estrogens
ML02BA01;tamoxifen
ML02BA02;toremifene
ML02BA03;fulvestrant
ML02BA04;elacestrant
ML02BB;anti-androgens
ML02BB01;flutamide
ML02BB02;nilutamide
ML02BB03;bicalutamide
ML02BB04;enzalutamide
ML02BB05;apalutamide
ML02BB06;darolutamide
ML02BG;aromatase inhibitors
ML02BG01;aminoglutethimide
ML02BG02;formestane
ML02BG03;anastrozole
ML02BG04;letrozole
ML02BG05;vorozol
ML02BG06;exemestane
ML02BX;other hormone antagonists and similar substances
ML02BX01;abarelix
ML02BX02;degarelix
ML02BX03;abiraterone
ML02BX04;relugolix
ML02BX53;abiraterone and corticosteroids
ML03;immunostimulants
ML03A;immunostimulants
ML03AA;colony stimulating factors
ML03AA02;filgrastim
ML03AA03;molgramostim
ML03AA09;sargramostim
ML03AA10;lenograstim
ML03AA12;ancestim
ML03AA13;pegfilgrastim
ML03AA14;lipegfilgrastim
ML03AA15;balugrastim
ML03AA16;empegfilgrastim
ML03AA17;pegteograstim
ML03AA18;efbemalenograstim alfa
ML03AA19;eflapegrastim
ML03AB;interferons
ML03AB01;interferon alpha natural
ML03AB02;interferon beta natural
ML03AB03;interferon gamma
